"out","swSize","beta","window","method", "data"
"4.717","24","0.4","24","Proposed","London"
"4.591","24","0.45","24","Proposed","London"
"3.806","24","0.5","24","Proposed","London"
"4.765","24","0.55","24","Proposed","London"
"4.169","24","0.6","24","Proposed","London"
"4.804","24","0.65","24","Proposed","London"
"4.928","24","0.7","24","Proposed","London"
"4.606","24","0.75","24","Proposed","London"
"5.176","24","0.8","24","Proposed","London"
"7.694","10",NA,"10","EB","London"
"3.008","12",NA,"12","EB","London"
"13.301","14",NA,"14","EB","London"
"7","16",NA,"16","EB","London"
"NaN","18",NA,"18","EB","London"
"4.422","20",NA,"20","EB","London"
"NaN","6",NA,"6","EB","London"
"1.994","8",NA,"8","EB","London"
"15.033","10",NA,"10","Infomap","London"
"10.998","12",NA,"12","Infomap","London"
"8.213","14",NA,"14","Infomap","London"
"10.085","16",NA,"16","Infomap","London"
"9.81","18",NA,"18","Infomap","London"
"8.536","20",NA,"20","Infomap","London"
"7.516","6",NA,"6","Infomap","London"
"5.754","8",NA,"8","Infomap","London"
"27.263","22",NA,"22","MST-VB","London"
"2.779","24",NA,"24","MST-VB","London"
"18.197","22",NA,"22","Multilevel","London"
"9.578","24",NA,"24","Multilevel","London"
"9.738","22",NA,"22","Fast greedy","London"
"7.651","24",NA,"24","Fast greedy","London"
"6.141","22",NA,"22","EB","London"
"4.633","24",NA,"24","EB","London"
"11.424","22",NA,"22","Infomap","London"
"7.211","24",NA,"24","Infomap","London"
"5.008","12","0.3","12","Proposed","London"
"7.246","12","0.35","12","Proposed","London"
"4.742","12","0.4","12","Proposed","London"
"5.557","12","0.45","12","Proposed","London"
"5.332","12","0.5","12","Proposed","London"
"5.255","12","0.55","12","Proposed","London"
"6.65","12","0.6","12","Proposed","London"
"5.05","12","0.65","12","Proposed","London"
"5.726","12","0.7","12","Proposed","London"
"7.117","12","0.75","12","Proposed","London"
"5.792","12","0.8","12","Proposed","London"
"2.002","3","0.3","3","Proposed","London"
"3.485","3","0.35","3","Proposed","London"
"2.493","3","0.4","3","Proposed","London"
"2.931","3","0.45","3","Proposed","London"
"2.587","3","0.5","3","Proposed","London"
"2.219","3","0.55","3","Proposed","London"
"2.063","3","0.6","3","Proposed","London"
"2.672","3","0.65","3","Proposed","London"
"2.498","3","0.7","3","Proposed","London"
"3.083","3","0.75","3","Proposed","London"
"2.504","3","0.8","3","Proposed","London"
"3.753","12",NA,"12","MST-VB","London"
"2.985","3",NA,"3","MST-VB","London"
"7.358","12",NA,"12","Multilevel","London"
"7.901","3",NA,"3","Multilevel","London"
"5.514","12",NA,"12","Fast greedy","London"
"7.457","3",NA,"3","Fast greedy","London"
"3.008","12",NA,"12","EB","London"
"1.643","3",NA,"3","EB","London"
"10.998","12",NA,"12","Infomap","London"
"3.767","3",NA,"3","Infomap","London"
"2.942","4","0.3","4","Proposed","London"
"2.627","4","0.35","4","Proposed","London"
"2.622","4","0.4","4","Proposed","London"
"2.696","4","0.45","4","Proposed","London"
"2.85","4","0.5","4","Proposed","London"
"3.194","4","0.55","4","Proposed","London"
"4.599","4","0.6","4","Proposed","London"
"4.404","4","0.65","4","Proposed","London"
"3.766","4","0.7","4","Proposed","London"
"2.705","4","0.75","4","Proposed","London"
"2.842","4","0.8","4","Proposed","London"
"4.459","48","0.3","48","Proposed","London"
"3.954","48","0.35","48","Proposed","London"
"5.391","48","0.4","48","Proposed","London"
"4.664","48","0.45","48","Proposed","London"
"6.116","48","0.5","48","Proposed","London"
"4.392","48","0.55","48","Proposed","London"
"4.256","48","0.6","48","Proposed","London"
"4.446","48","0.65","48","Proposed","London"
"4.481","48","0.7","48","Proposed","London"
"4.708","48","0.75","48","Proposed","London"
"4.583","48","0.8","48","Proposed","London"
"2.489","4",NA,"4","MST-VB","London"
"9.902","48",NA,"48","MST-VB","London"
"9.902","48",NA,"48","MST-VB","London"
"8.041","4",NA,"4","Multilevel","London"
"15.162","48",NA,"48","Multilevel","London"
"15.162","48",NA,"48","Multilevel","London"
"3.78","4",NA,"4","Fast greedy","London"
"10.227","48",NA,"48","Fast greedy","London"
"10.227","48",NA,"48","Fast greedy","London"
"NaN","4",NA,"4","EB","London"
"2.036","48",NA,"48","EB","London"
"2.036","48",NA,"48","EB","London"
"3.775","4",NA,"4","Infomap","London"
"5.521","48",NA,"48","Infomap","London"
"5.521","48",NA,"48","Infomap","London"
"1.791","2","0.3","2","Proposed","London"
"1.907","2","0.35","2","Proposed","London"
"1.664","2","0.4","2","Proposed","London"
"1.828","2","0.45","2","Proposed","London"
"1.944","2","0.5","2","Proposed","London"
"1.971","2","0.55","2","Proposed","London"
"2.494","2","0.6","2","Proposed","London"
"2.221","2","0.65","2","Proposed","London"
"3.952","2","0.7","2","Proposed","London"
"3.468","2","0.75","2","Proposed","London"
"2.05","2","0.8","2","Proposed","London"
"2.477","2",NA,"2","MST-VB","London"
"10.299","2",NA,"2","Multilevel","London"
"8.112","2",NA,"2","Fast greedy","London"
"1.896","2",NA,"2","EB","London"
"3.897","2",NA,"2","Infomap","London"
