"edgeWeight","edgeDensity","avg.edgeDensity","beta","window","method"
"0.457","0.5","0.834","0.5","22","Proposed"
"0.412","0.5","0.757","0.55","22","Proposed"
"0.355","0.5","0.742","0.6","22","Proposed"
"0.313","0.5","0.845","0.65","22","Proposed"
"0.271","0.5","0.85","0.7","22","Proposed"
"0.229","0.5","0.846","0.75","22","Proposed"
"0.168","0.5","0.909","0.8","22","Proposed"
"0.361","0.295","0.584",NA,"22","MST-VB"
"0.542","0.464","0.652",NA,"22","Multilevel"
"0.526","0.39","0.555",NA,"22","FG"
"0.364","0.5","0.509",NA,"22","EB"
"0.345","0.467","0.703",NA,"22","Infomap"
"0.536","0.5","0.642","0.3","24","Proposed"
"0.335","0.5","0.629","0.35","24","Proposed"
"0.315","0.5","0.665","0.4","24","Proposed"
"0.491","0.5","0.714","0.45","24","Proposed"
"0.381","0.5","0.704","0.5","24","Proposed"
"0.341","0.5","0.686","0.55","24","Proposed"
"0.381","0.5","0.732","0.6","24","Proposed"
"0.321","0.5","0.76","0.65","24","Proposed"
"0.248","0.5","0.812","0.7","24","Proposed"
"0.242","0.5","0.749","0.75","24","Proposed"
"0.194","0.5","0.841","0.8","24","Proposed"
"0.24","0.24","0.361",NA,"24","MST-VB"
"0.342","0.234","0.529",NA,"24","Multilevel"
"0.355","0.24","0.446",NA,"24","FG"
"0.658","0.25","0.624",NA,"24","EB"
"0.283","0.264","0.551",NA,"24","Infomap"
"0.563","0.5","0.771","0.3","4","Proposed"
"0.571","0.5","0.877","0.35","4","Proposed"
"0.436","0.5","0.791","0.4","4","Proposed"
"0.466","0.942","0.99","0.45","4","Proposed"
"0.436","0.933","0.977","0.5","4","Proposed"
"0.436","0.5","0.851","0.55","4","Proposed"
"0.35","0.5","0.883","0.6","4","Proposed"
"0.33","0.5","0.883","0.65","4","Proposed"
"0.284","0.5","0.917","0.7","4","Proposed"
"0.198","0.5","0.857","0.75","4","Proposed"
"0.001","0.5","0.938","0.8","4","Proposed"
"0.411","0.667","0.732",NA,"4","MST-VB"
"0.511","0.795","0.843",NA,"4","Multilevel"
"0.496","0.819","0.834",NA,"4","FG"
"0.435","0.758","0.758",NA,"4","EB"
"0.321","0.5","0.89",NA,"4","Infomap"
"0.266","0.333","0.59","0.3","48","Proposed"
"0.324","0.5","0.606","0.35","48","Proposed"
"0.328","0.5","0.626","0.4","48","Proposed"
"0.334","0.5","0.698","0.45","48","Proposed"
"0.485","0.5","0.672","0.5","48","Proposed"
"0.306","0.5","0.726","0.55","48","Proposed"
"0.328","0.5","0.725","0.6","48","Proposed"
"0.328","0.5","0.74","0.65","48","Proposed"
"0.284","0.5","0.741","0.7","48","Proposed"
"0.25","0.5","0.815","0.75","48","Proposed"
"0.179","0.5","0.775","0.8","48","Proposed"
"0.244","0.196","0.332",NA,"48","MST-VB"
"0.328","0.154","0.305",NA,"48","Multilevel"
"0.354","0.148","0.313",NA,"48","FG"
"0.28","0.192","0.564",NA,"48","EB"
"0.289","0.214","0.427",NA,"48","Infomap"
"0.353","0.926","0.926","0.3","2","Proposed"
"0.4","0.5","0.702","0.35","2","Proposed"
"0.4","0.5","0.712","0.4","2","Proposed"
"0.4","0.5","0.775","0.45","2","Proposed"
"0.4","0.5","0.734","0.5","2","Proposed"
"0.4","0.5","0.761","0.55","2","Proposed"
"0.399","0.5","0.793","0.6","2","Proposed"
"0.252","0.5","0.742","0.65","2","Proposed"
"0.241","0.5","0.87","0.7","2","Proposed"
"0.241","0.5","0.842","0.75","2","Proposed"
"0.192","0.5","0.844","0.8","2","Proposed"
"0.301","0.75","0.814",NA,"2","MST-VB"
"0.406","0.66","0.855",NA,"2","Multilevel"
"0.491","0.664","0.812",NA,"2","FG"
"0.355","0.92","0.92",NA,"2","EB"
"0.379","0.5","0.888",NA,"2","Infomap"
"0.301","0.75","0.814",NA,"2","MST-VB"
"0.406","0.66","0.855",NA,"2","Multilevel"
"0.491","0.664","0.812",NA,"2","FG"
"0.355","0.92","0.92",NA,"2","EB"
"0.379","0.5","0.888",NA,"2","Infomap"
